Liturgical Year,,
,,
Year,Sundays,Weekdays
2011,B,I
2012,C,II
2013,A,I
2014,B,II
2015,C,I
2016,A,II
2017,B,I
2018,C,II
2019,A,I
2020,B,I
2021,C,II
2022,A,I
2023,B,II
2024,C,I
2025,A,II
2026,B,I
2027,C,II
2028,A,I
2029,B,II
2030,C,I
2031,A,II
2032,B,I
2033,C,II
2034,A,I
2035,B,I
2036,C,II
2037,A,I
2038,B,II
2039,C,I
2040,A,II
2041,B,I
2042,C,II
2043,A,I
2044,B,II
2045,C,I
2046,A,II
2047,B,I
2048,C,II
2049,B,I
2050,C,II
2051,A,I
2052,B,II
2053,C,I
2054,A,II
2055,B,I
2056,C,II
2057,A,I
2058,B,I
2059,C,II
2060,A,I
2061,B,II
2062,C,I
2063,A,II
2064,B,I
2065,C,II
2066,A,I
2067,B,II
2068,C,I
2069,A,II
2070,B,I
2071,C,II
2072,A,I
2073,B,II
2074,C,I
2075,A,II
2076,B,I
2077,C,II
2078,A,I
2079,B,I
2080,C,II
2081,A,I
2082,B,II
2083,C,I
2084,A,II
2085,B,I
2086,C,II
2087,A,I
2088,B,II
2089,C,I
2090,A,II
2091,B,I
2092,C,II
2093,A,I
2094,B,I
2095,C,II
2096,A,I
2097,B,II
2098,C,I
2099,A,II
2100,B,I
2101,C,II
2102,A,I
2103,B,II
2104,C,I
2105,A,II
2106,B,I
2107,C,II
2108,B,I